geo,channel,time,spend_eur,impressions,reach,frequency,spend_eur_imputed,spend_eur_imputed_boundary_fill,impressions_imputed,impressions_imputed_boundary_fill
Region_01,Affiliate,2021-01-04,1349.3925508392672,154949.89490391727,,,False,False,False,False
Region_01,Affiliate,2021-01-11,1428.406501262357,150717.9843209568,,,False,False,False,False
Region_01,Affiliate,2021-01-18,1236.410304859807,112143.70994153658,,,False,False,False,False
Region_01,Affiliate,2021-01-25,1286.6558441047928,132743.20941429873,,,False,False,False,False
Region_01,Affiliate,2021-02-01,1245.9414485439972,154215.769099455,,,False,False,False,False
Region_01,Affiliate,2021-02-08,1381.117492183973,161036.0724698247,,,False,False,False,False
Region_01,Affiliate,2021-02-15,1287.5356403938888,122318.5754433731,,,False,False,False,False
Region_01,Affiliate,2021-02-22,1277.413118763705,118962.59811539094,,,False,False,False,False
Region_01,Affiliate,2021-03-01,1248.9043810081964,126148.2321976152,,,False,False,False,False
Region_01,Affiliate,2021-03-08,1255.1039295581995,123450.12083932383,,,False,False,False,False
Region_01,Affiliate,2021-03-15,1146.660688406895,129282.23641913802,,,False,False,False,False
Region_01,Affiliate,2021-03-22,1066.7199432390746,114860.41015097832,,,False,False,False,False
Region_01,Affiliate,2021-03-29,1198.2111037990394,101167.31430688586,,,False,False,False,False
Region_01,Affiliate,2021-04-05,1038.730452599065,108748.4003401878,,,False,False,False,False
Region_01,Affiliate,2021-04-12,1192.9663732158683,117179.16002870142,,,False,False,False,False
Region_01,Affiliate,2021-04-19,1227.8628539874016,123242.76885552648,,,False,False,False,False
Region_01,Affiliate,2021-04-26,1122.2583531661355,115054.68410484506,,,False,False,False,False
Region_01,Affiliate,2021-05-03,1204.956087765725,135841.15308859185,,,False,False,False,False
Region_01,Affiliate,2021-05-10,1126.5929907975233,124231.59289006234,,,False,False,False,False
Region_01,Affiliate,2021-05-17,1221.2611318586448,113304.62084820442,,,False,False,False,False
Region_01,Affiliate,2021-05-24,1101.764438318016,109532.566803469,,,False,False,False,False
Region_01,Affiliate,2021-05-31,1001.4203275151164,95749.68770668314,,,False,False,False,False
Region_01,Affiliate,2021-06-07,1122.6231748879625,94883.86369679698,,,False,False,False,False
Region_01,Affiliate,2021-06-14,1227.6317706712034,121427.82568210395,,,False,False,False,False
Region_01,Affiliate,2021-06-21,1157.742272174297,139228.63253331897,,,False,False,False,False
Region_01,Affiliate,2021-06-28,1098.554491905668,92569.62498917864,,,False,False,False,False
Region_01,Affiliate,2021-07-05,1145.9632824660705,114320.92039937692,,,False,False,False,False
Region_01,Affiliate,2021-07-12,1183.4054943952262,117678.0688038399,,,False,False,False,False
