geo,time,population,price_index,promo_flag,holiday_flag,temperature_c,consumer_climate_index,competitor_spend_proxy_eur,organic_search_clicks,social_organic_reach,distribution_points,assortment_breadth_skus,revenue_eur,website_sessions
Region_01,2021-01-04,5148593.843771477,99.93775490691345,0,0,3.74910729924695,-0.09612655468029806,19880.833341239962,862.1906232088402,13998.842933026977,6.0,3000,437444.232038628,10579.145040529127
Region_01,2021-01-11,5148593.843771477,99.96089668644353,0,0,0.42133183645075145,-0.4387410678053932,18860.798863405085,914.7174391049853,11999.371498333376,6.0,3002,451220.631470077,12597.513829555639
Region_01,2021-01-18,5148593.843771477,99.94278448389643,0,0,1.9212163873263286,-0.6958721011466099,19068.570126841638,884.8819813069196,10797.664468925324,6.0,3004,413947.92238627793,11818.824015830274
Region_01,2021-01-25,5148593.843771477,99.55259303261447,0,0,2.8457577894294617,-0.11789621773474024,15862.166567142684,907.3601050432648,11674.570618106245,6.0,3006,469108.720864055,11338.340732314926
Region_01,2021-02-01,5148593.843771477,100.10611848878385,0,0,3.4280534600272676,-0.5590984616611581,19585.200301753986,780.7078684579483,11392.411069376541,6.0,3008,427073.5484445427,11497.705532338869
Region_01,2021-02-08,5148593.843771477,99.86496276118794,0,0,3.6363369607177556,-0.8048566784590524,24982.80555175567,873.9126484136478,13546.631380572295,6.0,3010,475082.37790697254,10760.45359336887
Region_01,2021-02-15,5148593.843771477,99.92957303652997,0,0,0.39500387959401095,-0.6517361470635894,17423.878366408535,859.931570579208,10610.833648778089,6.0,3012,482020.49133220786,11194.46038145202
Region_01,2021-02-22,5148593.843771477,98.89940541351078,0,0,4.819956851085736,-0.792736975035225,22655.724707877125,1033.2618404912228,12802.308671023018,6.0,3014,457635.2375965102,10656.209628203129
Region_01,2021-03-01,5148593.843771477,98.79181826948162,0,0,5.22935046683787,-0.7460696558048324,11776.932875139522,823.3876374648045,13095.009259448418,6.0,3016,434651.7338052033,11291.66582059473
Region_01,2021-03-08,5148593.843771477,98.24202368777512,0,0,7.578379253019136,-0.3172047659992491,17556.87315491846,786.5330433113793,11521.813549449493,6.0,3018,485726.89750515594,11795.857054890177
Region_01,2021-03-15,5148593.843771477,97.75251280292547,0,0,8.247616366513821,-0.12081640870022245,14868.407904629263,782.4586833859967,13680.074438661735,7.0,3020,458706.33980715094,11715.434717675675
Region_01,2021-03-22,5148593.843771477,98.96360577640885,0,0,8.44674145218951,-0.2614211137174147,23836.73417851695,779.8578776318618,9592.971913418576,7.0,3022,458408.4632215805,12326.634516028795
Region_01,2021-03-29,5148593.843771477,99.08836872672428,1,0,9.50545275056605,-0.30153695753765175,22592.408529163615,834.4950248794104,9830.104974438296,7.0,3024,449947.71900060226,11570.038319660453
Region_01,2021-04-05,5148593.843771477,99.70137981574872,0,0,12.0285746488445,-0.1423551546019112,16956.433083908916,817.7878840534956,10652.609729267775,7.0,3026,460317.09167541435,10066.066910446656
Region_01,2021-04-12,5148593.843771477,100.12903160740912,0,0,12.689737602686122,0.04814177524620117,20680.45100171628,718.5814810658724,9789.022879403288,7.0,3028,449720.9753383103,12494.613967594314
Region_01,2021-04-19,5148593.843771477,100.62065304840814,0,0,12.327523317692204,0.05436759720435557,23713.718010758355,650.4847334429323,9566.000683721893,7.0,3030,424359.13754105405,10887.663046962238
Region_01,2021-04-26,5148593.843771477,100.5211172176116,0,0,16.054966527779293,0.16255029722157818,24273.277132654195,864.283490395414,8400.545615744884,7.0,3032,484723.4319011375,11425.970351210543
Region_01,2021-05-03,5148593.843771477,101.32431822356736,1,0,12.775490889514659,0.2710250293354626,18632.897219246875,899.7648539130773,8394.889575315261,7.0,3034,513489.15410089947,11459.730980683244
Region_01,2021-05-10,5148593.843771477,101.7476618728556,0,0,12.766353311709404,0.2433570631339231,14217.432583148428,872.7983197941988,8848.770387700917,7.0,3036,477460.9307917748,11506.734188320313
Region_01,2021-05-17,5148593.843771477,101.76832934875677,0,0,15.28872425559392,0.06178578121499945,17305.360177193765,830.4154725319759,10017.947048150067,7.0,3038,473048.3407800516,11377.009435827998
Region_01,2021-05-24,5148593.843771477,101.89997416098556,0,0,15.427371192179832,0.28456446062149976,22213.916782277207,849.7851683559595,9195.29996891348,7.0,3040,494025.1614580432,11375.126897021872
Region_01,2021-05-31,5148593.843771477,101.83160795275431,0,0,12.885858962947104,0.37210309909559247,27129.763555581016,856.2456316957985,11758.711061104197,7.0,3042,431714.5367208757,10702.339196875539
Region_01,2021-06-07,5148593.843771477,101.8577275451875,0,0,16.1050769902386,-0.25219081563758283,19641.5758227121,848.7492036231436,12412.329685849614,7.0,3044,431965.4115131063,12999.615779463908
Region_01,2021-06-14,5148593.843771477,101.83592717764414,0,0,17.99550767219048,-0.4999414715436441,18079.415347358306,871.3007703135894,10467.80962836945,7.0,3046,444728.6768071751,11759.269302498673
Region_01,2021-06-21,5148593.843771477,102.02669399326237,1,0,17.68049292077539,-0.6441429546236029,28380.47783023876,935.2587998945158,10458.223684338842,7.0,3048,476388.26240545633,11445.329019099254
Region_01,2021-06-28,5148593.843771477,102.89668089396761,0,0,16.776978875243096,-0.7044823616477468,21044.877545682633,876.2960345974132,11269.026477370635,7.0,3050,445699.54766041203,12492.589527138744
Region_01,2021-07-05,5148593.843771477,102.29407383548823,0,0,18.06348827933411,-0.3432988857287981,16471.507736790907,834.4034067973689,11250.701472479966,7.0,3052,430832.93734289636,10809.566053919782
Region_01,2021-07-12,5148593.843771477,102.86525121724264,0,0,18.126279711649136,0.617398885395463,19452.218831596423,782.9676808671694,11035.30336489072,7.0,3054,452820.43059731537,11890.353800241404
Region_01,2021-07-19,5148593.843771477,102.68113397538701,0,0,18.84014611520043,-0.1202474079518916,23006.721959030492,746.9190200509711,9706.130250419774,7.0,3056,449573.66985535616,11058.841613372404
Region_01,2021-07-26,5148593.843771477,103.31596554951942,1,0,16.517878973190427,-0.028925500062041795,19594.348007121855,913.3318664873347,9927.80685505189,7.0,3058,487282.02126477996,11626.097361451744
Region_01,2021-08-02,5148593.843771477,103.14924286801234,0,0,18.394433391000362,-0.008049663982027989,22308.134174973387,860.266658567873,8826.1610779657,7.0,3060,452689.5538044209,11612.062259328155
Region_01,2021-08-09,5148593.843771477,103.35561970628245,0,0,14.947906465760235,-0.06219660058382376,15565.332726796674,939.4694518439265,9337.775406603749,7.0,3062,411581.65291840537,10128.593339013765
Region_01,2021-08-16,5148593.843771477,103.27619758188477,1,0,15.233020606569294,0.10068526302482014,15969.348464604056,721.7938794934053,9654.353528991236,7.0,3064,475424.9408369119,10577.810964787892
Region_01,2021-08-23,5148593.843771477,102.41090152019565,0,0,17.853471068327426,0.14562188519866454,17735.510606309548,784.3892953805347,10025.247538306945,7.0,3066,490222.87774142384,12312.62902526713
Region_01,2021-08-30,5148593.843771477,103.28038995834264,0,0,13.008701322453469,0.03719169250702821,18981.56560637215,825.5252625094759,9150.932606378092,7.0,3068,452667.9129767115,11218.686347372848
Region_01,2021-09-06,5148593.843771477,102.80901315158165,0,0,12.729634407403944,0.045964491664911254,20819.490858530153,829.4889378913156,9168.034804941555,7.0,3070,476094.31719738117,12583.456594852212
Region_01,2021-09-13,5148593.843771477,102.85095458215982,0,0,10.957172505448808,0.21293449108483206,21786.953384495588,935.1388759777092,7741.301439480427,7.0,3072,441729.80592785834,12126.903478551887
Region_01,2021-09-20,5148593.843771477,102.32474368907228,0,0,10.673625739332604,0.3513758704392106,28666.074695016516,812.7091719289587,12532.6275650592,7.0,3074,467934.4222570395,11284.236982367529
Region_01,2021-09-27,5148593.843771477,101.65624286332856,0,0,11.17183817908574,0.4079655627251163,17725.668137457684,870.4356808694213,9319.26902880682,7.0,3076,438927.6860085535,11208.316045347568
Region_01,2021-10-04,5148593.843771477,101.55377294348399,0,0,11.059813439264422,0.23293127439927175,18891.25157831889,1188.579039858859,10557.540871830077,7.0,3078,452527.0271876198,12451.26147593211
Region_01,2021-10-11,5148593.843771477,101.25701731244885,0,0,9.00774935767941,1.0786741393667922,17800.009639892218,1048.6016081247044,10668.131470866889,7.0,3080,453062.031410139,12734.417091442485
Region_01,2021-10-18,5148593.843771477,100.67260980179563,0,0,7.598439911868542,1.186528132723267,23282.582222711546,958.2709592023228,11343.87185941206,7.0,3082,468495.030595052,11259.488642521976
Region_01,2021-10-25,5148593.843771477,100.65489349443205,0,0,5.299000074479757,1.4152671009241082,23473.91592960231,1039.0141758164195,11824.852962755387,7.0,3084,441093.5607582037,12396.037952253515
Region_01,2021-11-01,5148593.843771477,99.91394013288313,0,0,5.1915189408769375,1.2629263650657918,18516.25430543662,968.3828168408813,10270.282872205242,7.0,3086,427186.06815869175,12037.607845979877
Region_01,2021-11-08,5148593.843771477,99.9766770320904,0,0,3.136428328069328,1.319798473314653,26995.202368126276,1314.4536059897641,14524.32326173513,7.0,3088,472676.6045541924,12241.951969163192
