geo,population,pop_share
Region_01,5148593.843771477,0.12871484609428693
Region_02,2297686.9103863616,0.057442172759659044
Region_03,6727234.291610769,0.16818085729026921
Region_04,7540075.681706696,0.1885018920426674
Region_05,1330124.140106831,0.03325310350267077
Region_06,1963219.4169381198,0.049080485423452995
Region_07,4630188.737919382,0.11575471844798454
Region_08,3547161.9536829353,0.08867904884207338
Region_09,4245300.876015714,0.10613252190039285
Region_10,2570414.1478617135,0.06426035369654284
