geo,time,channel,spend_eur,impressions,reach,frequency
Region_01,2021-01-04,Paid_Social,3251.023926025763,486041.2744327596,171186.60172337492,2.8392483380105116
Region_01,2021-01-11,Paid_Social,3526.5682058064517,477345.53152268473,147693.25016537766,3.232006411858247
Region_01,2021-01-18,Paid_Social,3562.0683267486493,501646.74456265377,174007.64803837836,2.882900551888459
Region_01,2021-01-25,Paid_Social,3534.753103633473,451991.1067165882,157459.0409155512,2.8705313082594044
Region_01,2021-02-01,Paid_Social,3330.118419212049,421256.8398599476,158356.1323208484,2.660186465064902
Region_01,2021-02-08,Paid_Social,3415.893206718549,557709.0040436725,186827.1816014827,2.9851598641214334
Region_01,2021-02-15,Paid_Social,3441.342321355037,467311.59607006965,170339.9494780776,2.743405745404496
Region_01,2021-02-22,Paid_Social,3003.2433532528976,441733.1593950899,149930.02964004537,2.9462620694173847
Region_01,2021-03-01,Paid_Social,3030.209912205417,431426.85443848674,129580.73686722235,3.3294057810502915
Region_01,2021-03-08,Paid_Social,2728.05348311967,372903.2321262531,119834.80596182108,3.1118107058566826
Region_01,2021-03-15,Paid_Social,2735.73460927165,371462.91287230304,117726.50855396251,3.1553039110306655
Region_01,2021-03-22,Paid_Social,2604.423267659374,396257.6557037075,127465.18477837201,3.10875205957371
Region_01,2021-03-29,Paid_Social,2778.648806637977,385146.25229427876,127624.6171345179,3.017805349326376
Region_01,2021-04-05,Paid_Social,2611.03730556408,367398.96018191014,124035.63172758273,2.962043689097517
Region_01,2021-04-12,Paid_Social,2800.3351887938666,400937.8412526031,137823.61822758103,2.909064835248739
Region_01,2021-04-19,Paid_Social,2771.7720000019276,445404.4691624817,137614.84423065424,3.236601920763328
Region_01,2021-04-26,Paid_Social,2716.196862851934,415353.0648022798,154306.45758890067,2.6917413003469552
Region_01,2021-05-03,Paid_Social,2412.0496494198046,358017.5543476804,104365.32376168268,3.430426327859725
Region_01,2021-05-10,Paid_Social,2657.8743607171314,358889.5501536393,119222.86854922898,3.010240858325332
Region_01,2021-05-17,Paid_Social,2719.304907012196,338330.94940295914,121544.72561151873,2.7835921937438286
Region_01,2021-05-24,Paid_Social,2737.077480545435,429958.5726295284,150504.22856328162,2.856787325737803
Region_01,2021-05-31,Paid_Social,2517.2712697890265,396099.4550112209,141281.17875130472,2.8036250724413136
Region_01,2021-06-07,Paid_Social,2649.213455181019,373171.11828035145,122413.43633342997,3.0484490057440032
Region_01,2021-06-14,Paid_Social,2579.7568951935123,389058.09693409747,139337.72990384433,2.792194886500468
Region_01,2021-06-21,Paid_Social,2597.7591715270655,401271.6589285082,119320.5111002518,3.362973014684492
Region_01,2021-06-28,Paid_Social,2847.963515264764,442113.99585965293,159352.60184653776,2.7744385139404533
Region_01,2021-07-05,Paid_Social,2589.9762490220696,405707.3888569184,169740.71842452534,2.390159489264297
Region_01,2021-07-12,Paid_Social,2688.178895849174,366921.28355477704,131582.61422701072,2.7885240440788945
Region_01,2021-07-19,Paid_Social,2809.9711788318773,467087.52268075,190329.44343878957,2.454100186716337
Region_01,2021-07-26,Paid_Social,2607.1149988120496,328793.5577022849,110035.67880964276,2.9880631560521778
Region_01,2021-08-02,Paid_Social,2665.326578186277,415027.18792024837,124439.03840742487,3.335184787923313
Region_01,2021-08-09,Paid_Social,2691.161722474851,403917.76501837105,126194.33204423201,3.2007599586706874
Region_01,2021-08-16,Paid_Social,2681.3056795368493,418012.32219207805,159279.03047982257,2.6244027285502076
Region_01,2021-08-23,Paid_Social,2511.3444834608144,432924.8780508918,155738.36637252523,2.7798216209314672
Region_01,2021-08-30,Paid_Social,2679.020516735001,443962.8670451279,123874.0450858215,3.583986191276347
Region_01,2021-09-06,Paid_Social,2858.6976694594155,364196.5156093844,117593.07767935612,3.0970914512710332
Region_01,2021-09-13,Paid_Social,2479.4256950481763,299167.89294967393,99681.56675378415,3.0012358622795903
Region_01,2021-09-20,Paid_Social,2814.8659028893885,436351.73931677017,130873.35696395047,3.3341525688606337
Region_01,2021-09-27,Paid_Social,2745.2902694376326,354330.71581971156,92420.08279383944,3.833914719705603
Region_01,2021-10-04,Paid_Social,2694.2330507689067,384413.2603183939,112555.73894340327,3.415314615913894
Region_01,2021-10-11,Paid_Social,3161.7242105011946,491241.27030564885,161480.04562222224,3.042117485245782
Region_01,2021-10-18,Paid_Social,3082.6940101917876,373631.2274521534,120203.7454604604,3.1083160181148846
Region_01,2021-10-25,Paid_Social,2918.6980132735257,337641.5114011188,105812.05429783178,3.1909550725737823
Region_01,2021-11-01,Paid_Social,3258.270961647366,477694.6432834371,169292.71663687698,2.8217081796145096
Region_01,2021-11-08,Paid_Social,3491.603213826975,501019.3500594301,185657.64915899723,2.6986194876913316
Region_01,2021-11-15,Paid_Social,3484.012826398035,485631.23651648866,161030.2710523805,3.0157760608781485
Region_01,2021-11-22,Paid_Social,3724.750538081423,534161.6381113136,195743.92903660363,2.728879719234749
Region_01,2021-11-29,Paid_Social,3613.2192156619303,473614.0235431977,158844.64464889435,2.981617822810839
Region_01,2021-12-06,Paid_Social,3710.044916630222,455565.57665704144,150402.5069589359,3.028975951720164
Region_01,2021-12-13,Paid_Social,3755.436179154103,527624.0918356979,139166.0830573553,3.791326738845162
Region_01,2021-12-20,Paid_Social,3248.6030240840546,421112.20822184545,152840.0633112101,2.7552475384963993
Region_01,2021-12-27,Paid_Social,3237.937618100318,392459.5941923827,132422.84735495414,2.9636849080915053
Region_01,2022-01-03,Paid_Social,3025.128994217966,454576.8427830562,154035.78886584626,2.951111856082737
Region_01,2022-01-10,Paid_Social,3196.955519971106,453912.3982438369,144830.034932218,3.1341040444840926
Region_01,2022-01-17,Paid_Social,3043.5250069405733,452828.9086377624,135942.1798521798,3.331040513916707
Region_01,2022-01-24,Paid_Social,3152.396794275573,407923.1041274579,142809.953214778,2.856405278096862
Region_01,2022-01-31,Paid_Social,3187.8693195614333,426406.0321634356,154302.49573775748,2.763442225122059
Region_01,2022-02-07,Paid_Social,3301.4000117477535,426788.02085963933,167627.83003973833,2.5460451331885867
Region_01,2022-02-14,Paid_Social,3247.026039948802,424503.58714751323,155233.2177926254,2.7346182291640933
Region_01,2022-02-21,Paid_Social,2773.15005857244,403981.7893317636,127627.18909677552,3.1653270137089473
Region_01,2022-02-28,Paid_Social,2748.1051724720537,363020.50282841665,120455.73263852419,3.0137254149439734
Region_01,2022-03-07,Paid_Social,2857.650273681465,423033.53858059744,156082.16606758354,2.7103259087103133
Region_01,2022-03-14,Paid_Social,2435.4572499044757,359946.44038588967,124539.09748829411,2.8902284314347337
Region_01,2022-03-21,Paid_Social,2572.533790497808,450002.2364004304,149529.3910385,3.009456758133699
Region_01,2022-03-28,Paid_Social,2579.2007695028424,320552.41265636,101602.24335747205,3.1549737689210766
Region_01,2022-04-04,Paid_Social,2730.453267580239,426282.8082793611,150781.25465136836,2.827160506556327
Region_01,2022-04-11,Paid_Social,2635.3475157486546,373124.21920803655,127528.91314662831,2.9258009811393224
