geo,time,population,price_index,promo_flag,holiday_flag,temperature_c,consumer_climate_index,competitor_spend_proxy_eur,organic_search_clicks,social_organic_reach,distribution_points,assortment_breadth_skus,revenue_eur,app_installs
Region_01,2021-01-04,4048092.244880707,100.50353216409063,0,0,0.9069372218466489,0.4577513702507735,8921.080839920169,691.4643535091217,10196.080617480497,10.0,3000,314731.96608358197,8698.420280421127
Region_01,2021-01-11,4048092.244880707,100.61278880982816,0,0,1.4176534428498662,0.17559902362477464,8559.24179611268,780.2490416408027,10190.37497065882,10.0,3002,346271.4632083527,8860.52604588573
Region_01,2021-01-18,4048092.244880707,100.97460976483075,0,0,0.024504008249489395,-0.33391348399571374,10458.542605762921,721.6402299336014,10344.42082889865,10.0,3004,355704.1905131448,9580.583025772892
Region_01,2021-01-25,4048092.244880707,100.50912028747251,0,0,1.154903771299882,-0.5813836401416488,9622.19363610595,701.5976522822067,9425.598292526149,10.0,3006,378969.1322281729,8733.412972043909
Region_01,2021-02-01,4048092.244880707,100.87715726828459,0,0,1.6437641150615294,-1.0721548152527083,8639.63385771946,859.1906589176535,8832.710531940116,10.0,3008,347230.5942835873,8474.838236098443
Region_01,2021-02-08,4048092.244880707,100.09151611745433,0,0,4.611107267309381,-0.46136218792269046,9484.447863057298,657.9819876807273,11648.885102342827,10.0,3010,339355.72852659633,9158.440431281098
Region_01,2021-02-15,4048092.244880707,100.31049380516875,1,0,6.108171905910056,-0.34951917583397146,9003.770933835334,774.0201966618464,9946.556083255728,10.0,3012,356537.879625874,9433.721651790038
Region_01,2021-02-22,4048092.244880707,100.59816095913472,0,0,4.052447021197716,0.08199370736869016,10168.989011263877,740.3397022778553,9352.157096820349,10.0,3014,354599.0578093535,9725.23878570938
Region_01,2021-03-01,4048092.244880707,99.80266407173467,0,0,5.047157211941795,0.5274351774785466,9511.009530263746,782.6726669117455,9031.511595245067,10.0,3016,358522.42294812866,8552.211575571962
Region_01,2021-03-08,4048092.244880707,100.7877138665222,0,0,6.6254239046901935,0.701583993060443,8308.676591506859,810.0602726821228,7801.410054932101,10.0,3018,329396.61405179003,8871.890377126416
Region_01,2021-03-15,4048092.244880707,100.2020064760675,0,0,6.404367003553271,0.8770167963283387,8700.16911912533,748.3042900943066,7830.673293371214,10.0,3020,347351.0143446426,8792.464785959666
Region_01,2021-03-22,4048092.244880707,100.74030997614727,0,0,7.691544303385909,0.6556679547305039,8779.36224510715,727.9064010316358,8327.950061358797,10.0,3022,355264.4638012393,9658.072620270712
Region_01,2021-03-29,4048092.244880707,100.47332716559235,0,0,10.313285608169846,0.6298705803625554,9827.211784636536,672.6464876185148,8128.739882565712,10.0,3024,310391.07567926164,9249.718297589716
Region_01,2021-04-05,4048092.244880707,100.63653709313685,0,0,10.367719584859254,0.444843353832765,9833.649183139241,688.0652022475234,7688.3434382438945,10.0,3026,367445.87413457414,8966.329898122298
Region_01,2021-04-12,4048092.244880707,100.30378191665567,0,0,10.859799792008438,0.4579096908116922,8269.386688616969,544.8513781418665,8566.805532639293,10.0,3028,339229.13533948554,9258.77211974258
Region_01,2021-04-19,4048092.244880707,101.58369200952102,1,0,11.07958400761857,0.24369892368932655,9067.265783360517,690.2733893816717,9260.110386471988,10.0,3030,373866.02095946064,8824.128361788082
Region_01,2021-04-26,4048092.244880707,102.1164597215031,0,0,15.064030687193668,0.6316385854451461,9739.47416525637,770.2192746868074,8771.182831690177,10.0,3032,341773.58671090653,8877.175908228253
Region_01,2021-05-03,4048092.244880707,103.04814056187536,0,0,12.821025971488982,0.8657265093626582,10908.29710538848,745.3829829835332,7583.663179978443,10.0,3034,337038.4226560854,8936.132423306484
Region_01,2021-05-10,4048092.244880707,103.45478096482006,0,0,14.748995309723561,0.8331363202459532,9658.198238279052,702.4125593898032,7504.861014867636,10.0,3036,338946.7862597557,8712.788007811467
Region_01,2021-05-17,4048092.244880707,103.81730608439736,0,0,13.780525302211881,0.3213802082412959,12329.465373911054,545.9064945825869,7177.76383288607,10.0,3038,344260.2086309333,8803.562952401584
Region_01,2021-05-24,4048092.244880707,103.90114047441855,0,0,15.120084438440557,0.5310701193610561,9351.339265499186,643.8110115567102,9006.566392696013,10.0,3040,355305.98244559026,9085.481690769037
